lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1619,0.0,0.07085613906383514,0.9867486281279386,
,1619,0,,,0.12732245028018951
5.440452211999621e-05,1620,,,,
,3239,1.0,0.07107622176408768,0.9885203956324646,
,3239,1,,,0.07993298768997192
5.2644113720760876e-05,3240,,,,
,4859,2.0,0.0624551959335804,0.9892596188932397,
,4859,2,,,0.07687871903181076
4.979571309671732e-05,4860,,,,
,6479,3.0,0.0706699788570404,0.9880555906417977,
,6479,3,,,0.07302679121494293
4.598380902327889e-05,6480,,,,
,8099,4.0,0.06690249592065811,0.989515178308282,
,8099,4,,,0.07127778232097626
4.1375e-05,8100,,,,
,9719,5.0,0.05967488884925842,0.990261024097231,
,9719,5,,,0.0667710155248642
3.617071309671732e-05,9720,,,,
,11339,6.0,0.06081654876470566,0.9897813951693262,
,11339,6,,,0.06582716852426529
3.0598400624043563e-05,11340,,,,
,12959,7.0,0.05820566415786743,0.9905648270949995,
,12959,7,,,0.06395193934440613
2.4901599375956447e-05,12960,,,,
,14579,8.0,0.06134626269340515,0.9896252613925027,
,14579,8,,,0.06062731146812439
1.9329286903282684e-05,14580,,,,
,16199,9.0,0.06084136292338371,0.9907199960001685,
,16199,9,,,0.059075016528367996
1.4125000000000008e-05,16200,,,,
,17819,10.0,0.057651158422231674,0.9905971941532288,
,17819,10,,,0.056742291897535324
9.516190976721123e-06,17820,,,,
,19439,11.0,0.059118445962667465,0.9908954272100824,
,19439,11,,,0.05483889579772949
5.704286903282686e-06,19440,,,,
,21059,12.0,0.05702783167362213,0.9908536307243205,
,21059,12,,,0.052180707454681396
2.8558862792391233e-06,21060,,,,
,22679,13.0,0.05682067573070526,0.9910662094929337,
,22679,13,,,0.05176381394267082
1.0954778800037949e-06,22680,,,,
,24299,14.0,0.057489655911922455,0.9910031419729697,
,24299,14,,,0.05091148614883423
