lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1669,0.0,0.08841050416231155,0.9802777686510589,
,1669,0,,,0.11837862432003021
5.440452211999621e-05,1670,,,,
,3339,1.0,0.07736073434352875,0.9822050883283867,
,3339,1,,,0.09134767204523087
5.2644113720760876e-05,3340,,,,
,5009,2.0,0.07400346547365189,0.984333783990437,
,5009,2,,,0.08531279861927032
4.979571309671732e-05,5010,,,,
,6679,3.0,0.07371607422828674,0.9846498726924104,
,6679,3,,,0.08290287107229233
4.598380902327889e-05,6680,,,,
,8349,4.0,0.07201141119003296,0.9854165373714807,
,8349,4,,,0.07919401675462723
4.1375e-05,8350,,,,
,10019,5.0,0.071220763027668,0.9854839939658191,
,10019,5,,,0.07724669575691223
3.617071309671732e-05,10020,,,,
,11689,6.0,0.06982699036598206,0.9859563523789707,
,11689,6,,,0.0741317868232727
3.0598400624043563e-05,11690,,,,
,13359,7.0,0.07131294906139374,0.9866529847007796,
,13359,7,,,0.07190383225679398
2.4901599375956447e-05,13360,,,,
,15029,8.0,0.06883332133293152,0.9865743123828484,
,15029,8,,,0.06941775232553482
1.9329286903282684e-05,15030,,,,
,16699,9.0,0.0704258531332016,0.9866416067244045,
,16699,9,,,0.066903255879879
1.4125000000000008e-05,16700,,,,
,18369,10.0,0.07024147361516953,0.9862689729277176,
,18369,10,,,0.06502025574445724
9.516190976721123e-06,18370,,,,
,20039,11.0,0.0682232603430748,0.9867802517270795,
,20039,11,,,0.06218454986810684
5.704286903282686e-06,20040,,,,
,21709,12.0,0.06841334700584412,0.9866482590884882,
,21709,12,,,0.060170240700244904
2.8558862792391233e-06,21710,,,,
,23379,13.0,0.068947933614254,0.9865870695078751,
,23379,13,,,0.05850681662559509
1.0954778800037949e-06,23380,,,,
,25049,14.0,0.06932855397462845,0.9865611496258655,
,25049,14,,,0.05767330154776573
