lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,245,0.0,0.46317291259765625,-0.46317291259765625,
,245,0,,,0.5142964124679565
5.134919225312596e-05,246,,,,
,491,1.0,0.47950440645217896,-0.47950440645217896,
,491,1,,,0.4781850278377533
4.1375e-05,492,,,,
,737,2.0,0.42841535806655884,-0.42841535806655884,
,737,2,,,0.4545968770980835
2.775e-05,738,,,,
,983,3.0,0.41554054617881775,-0.41554054617881775,
,983,3,,,0.444693922996521
1.4125000000000008e-05,984,,,,
,1229,4.0,0.41455841064453125,-0.41455841064453125,
,1229,4,,,0.4351919889450073
4.150807746874046e-06,1230,,,,
,1475,5.0,0.4058752954006195,-0.4058752954006195,
,1475,5,,,0.4297597110271454
