lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,528,0.0,0.15890751779079437,-0.15890751779079437,
,528,0,,,0.20806865394115448
5.230140165034092e-05,529,,,,
,1057,1.0,0.13317923247814178,-0.13317923247814178,
,1057,1,,,0.1492229551076889
4.474009710065049e-05,1058,,,,
,1586,2.0,0.1398664265871048,-0.1398664265871048,
,1586,2,,,0.1340647041797638
3.3813695450309567e-05,1587,,,,
,2115,3.0,0.13551023602485657,-0.13551023602485657,
,2115,3,,,0.12129145860671997
2.1686304549690434e-05,2116,,,,
,2644,4.0,0.12611787021160126,-0.12611787021160126,
,2644,4,,,0.10924623906612396
1.0759902899349514e-05,2645,,,,
,3173,5.0,0.12198031693696976,-0.12198031693696976,
,3173,5,,,0.09840308129787445
3.1985983496590814e-06,3174,,,,
,3702,6.0,0.12720343470573425,-0.12720343470573425,
,3702,6,,,0.08663741499185562
