lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,194,0.0,0.4837382435798645,-0.4837382435798645,
,194,0,,,0.45218974351882935
5.134919225312596e-05,195,,,,
,389,1.0,0.4637643098831177,-0.4637643098831177,
,389,1,,,0.4200713634490967
4.1375e-05,390,,,,
,584,2.0,0.4291830360889435,-0.4291830360889435,
,584,2,,,0.4056617319583893
2.775e-05,585,,,,
,779,3.0,0.411253422498703,-0.411253422498703,
,779,3,,,0.4022168517112732
1.4125000000000008e-05,780,,,,
,974,4.0,0.4318440556526184,-0.4318440556526184,
,974,4,,,0.39094698429107666
4.150807746874046e-06,975,,,,
,1169,5.0,0.4245864748954773,-0.4245864748954773,
,1169,5,,,0.38554126024246216
