lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,1616,0.0,0.0739932507276535,0.9859550377420414,
,1616,0,,,0.10118840634822845
5.440452211999621e-05,1617,,,,
,3233,1.0,0.07906869053840637,0.9878950823070147,
,3233,1,,,0.07672446221113205
5.2644113720760876e-05,3234,,,,
,4850,2.0,0.08295652270317078,0.9882488383742422,
,4850,2,,,0.07650502771139145
4.979571309671732e-05,4851,,,,
,6467,3.0,0.06663648784160614,0.9879656866978737,
,6467,3,,,0.0717695951461792
4.598380902327889e-05,6468,,,,
,8084,4.0,0.06948630511760712,0.9888215328278032,
,8084,4,,,0.06814880669116974
4.1375e-05,8085,,,,
,9701,5.0,0.06316259503364563,0.9890553262052407,
,9701,5,,,0.06607548147439957
3.617071309671732e-05,9702,,,,
,11318,6.0,0.061439916491508484,0.989264980222134,
,11318,6,,,0.06202183663845062
3.0598400624043563e-05,11319,,,,
,12935,7.0,0.06382739543914795,0.989133876289016,
,12935,7,,,0.06005818769335747
2.4901599375956447e-05,12936,,,,
,14552,8.0,0.060324445366859436,0.9895833261361477,
,14552,8,,,0.06002384424209595
1.9329286903282684e-05,14553,,,,
,16169,9.0,0.061068225651979446,0.989586478503446,
,16169,9,,,0.05728648602962494
1.4125000000000008e-05,16170,,,,
,17786,10.0,0.05919570475816727,0.989887507988876,
,17786,10,,,0.05372419208288193
9.516190976721123e-06,17787,,,,
,19403,11.0,0.06152905896306038,0.9897051456998256,
,19403,11,,,0.0518859438598156
5.704286903282686e-06,19404,,,,
,21020,12.0,0.06099601462483406,0.989825151572729,
,21020,12,,,0.050433605909347534
2.8558862792391233e-06,21021,,,,
,22637,13.0,0.060613300651311874,0.9899073722211668,
,22637,13,,,0.04922105744481087
1.0954778800037949e-06,22638,,,,
,24254,14.0,0.06026504933834076,0.989971283229406,
,24254,14,,,0.04759301245212555
