lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,194,0.0,0.487996369600296,-0.487996369600296,
,194,0,,,0.4419448971748352
5.134919225312596e-05,195,,,,
,389,1.0,0.46442487835884094,-0.46442487835884094,
,389,1,,,0.41752976179122925
4.1375e-05,390,,,,
,584,2.0,0.4241778254508972,-0.4241778254508972,
,584,2,,,0.39597591757774353
2.775e-05,585,,,,
,779,3.0,0.4253218173980713,-0.4253218173980713,
,779,3,,,0.39290493726730347
1.4125000000000008e-05,780,,,,
,974,4.0,0.4545188546180725,-0.4545188546180725,
,974,4,,,0.38502177596092224
4.150807746874046e-06,975,,,,
,1169,5.0,0.4346616566181183,-0.4346616566181183,
,1169,5,,,0.37828296422958374
