lr-AdamW,step,epoch,v_loss,val_metric,train_loss
5.5e-05,0,,,,
,194,0.0,0.4645979106426239,-0.4645979106426239,
,194,0,,,0.5092287063598633
5.134919225312596e-05,195,,,,
,389,1.0,0.45219966769218445,-0.45219966769218445,
,389,1,,,0.46092069149017334
4.1375e-05,390,,,,
,584,2.0,0.42714864015579224,-0.42714864015579224,
,584,2,,,0.44114890694618225
2.775e-05,585,,,,
,779,3.0,0.38338255882263184,-0.38338255882263184,
,779,3,,,0.42928677797317505
1.4125000000000008e-05,780,,,,
,974,4.0,0.3984379768371582,-0.3984379768371582,
,974,4,,,0.41835588216781616
4.150807746874046e-06,975,,,,
,1169,5.0,0.382127046585083,-0.382127046585083,
,1169,5,,,0.4178091585636139
